20m, 60m, 120m
0.0465,	0.3043,	0.9837
0.0209,	0.2051,	0.9850
0.0626,	0.2132,	0.9942
0.0482,	0.3050,	0.9949
0.0128,	0.0976,	0.9949
0.0093,	0.0835,	0.9756
