FID,FID_Buildi,osm_id,name,type,startX,startY,endX,endY
0,2,297886143.000000000000000, ,school,-0.344502399999997,39.464217499999975,-0.344481400000036,39.464259699999999
1,2,297886143.000000000000000, ,school,-0.344481400000036,39.464259699999999,-0.344203999999999,39.464177899999981
2,2,297886143.000000000000000, ,school,-0.344203999999999,39.464177899999981,-0.344461399999980,39.464134799999968
3,2,297886143.000000000000000, ,school,-0.344461399999980,39.464134799999968,-0.344480799999986,39.464093400000010
4,2,297886143.000000000000000, ,school,-0.344480799999986,39.464093400000010,-0.344657799999976,39.464191999999997
5,2,297886143.000000000000000, ,school,-0.344657799999976,39.464191999999997,-0.344903100000022,39.464265500000039
6,2,297886143.000000000000000, ,school,-0.344903100000022,39.464265500000039,-0.344919200000022,39.464234000000005
7,2,297886143.000000000000000, ,school,-0.344919200000022,39.464234000000005,-0.344975499999973,39.464250500000041
8,2,297886143.000000000000000, ,school,-0.344975499999973,39.464250500000041,-0.344932900000001,39.464334100000031
9,2,297886143.000000000000000, ,school,-0.344932900000001,39.464334100000031,-0.344898000000044,39.464323100000009
10,2,297886143.000000000000000, ,school,-0.344898000000044,39.464323100000009,-0.344891899999983,39.464333900000014
11,2,297886143.000000000000000, ,school,-0.344891899999983,39.464333900000014,-0.344502399999997,39.464217499999975
12,16,447560127.000000000000000, , ,-0.345075100000042,39.464300700000017,-0.345211100000015,39.464342400000007
13,14,447560125.000000000000000, , ,-0.345211100000015,39.464342400000007,-0.345347500000021,39.464381599999960
14,19,447560130.000000000000000, , ,-0.345347500000021,39.464381599999960,-0.345449700000040,39.464172900000015
15,19,447560130.000000000000000, , ,-0.345449700000040,39.464172900000015,-0.345467299999986,39.464136799999956
16,19,447560130.000000000000000, , ,-0.345467299999986,39.464136799999956,-0.345532601271221,39.464156795847600
17,19,447560130.000000000000000, , ,-0.345532601271221,39.464156795847600,-0.345429300000039,39.464372600000019
18,19,447560130.000000000000000, , ,-0.345429300000039,39.464372600000019,-0.345479899999963,39.464387500000008
19,14,447560125.000000000000000, , ,-0.345154500000040,39.464458600000029,-0.345211100000015,39.464342400000007
20,16,447560127.000000000000000, , ,-0.345154500000040,39.464458600000029,-0.345211100000015,39.464342400000007
21,16,447560127.000000000000000, , ,-0.345154500000040,39.464458600000029,-0.345017199999959,39.464418099999961
22,16,447560127.000000000000000, , ,-0.345017199999959,39.464418099999961,-0.345075100000042,39.464300700000017
23,14,447560125.000000000000000, , ,-0.345347500000021,39.464381599999960,-0.345290099999979,39.464498699999972
24,19,447560130.000000000000000, , ,-0.345347500000021,39.464381599999960,-0.345290099999979,39.464498699999972
25,14,447560125.000000000000000, , ,-0.345290099999979,39.464498699999972,-0.345154500000040,39.464458600000029
26,15,447560126.000000000000000, , ,-0.345414399999961,39.464535499999997,-0.345479899999963,39.464387500000008
27,19,447560130.000000000000000, , ,-0.345414399999961,39.464535499999997,-0.345479899999963,39.464387500000008
28,19,447560130.000000000000000, , ,-0.345414399999961,39.464535499999997,-0.345290099999979,39.464498699999972
29,15,447560126.000000000000000, , ,-0.345479899999963,39.464387500000008,-0.345593100000003,39.464420699999998
30,15,447560126.000000000000000, , ,-0.345593100000003,39.464420699999998,-0.345521799999966,39.464567200000040
31,15,447560126.000000000000000, , ,-0.345521799999966,39.464567200000040,-0.345414399999961,39.464535499999997
32,63,689546240.000000000000000, ,apartments,-0.344937899999970,39.464580900000023,-0.344940900000041,39.464574700000043
33,63,689546240.000000000000000, ,apartments,-0.344940900000041,39.464574700000043,-0.344975499999973,39.464503800000038
34,63,689546240.000000000000000, ,apartments,-0.344975499999973,39.464503800000038,-0.345271400000031,39.464591600000020
35,51,689546200.000000000000000, ,apartments,-0.345271400000031,39.464591600000020,-0.345373200000016,39.464621299999990
36,63,689546240.000000000000000, ,apartments,-0.345075700000003,39.464621900000040,-0.345067300000019,39.464619400000011
37,63,689546240.000000000000000, ,apartments,-0.345067300000019,39.464619400000011,-0.345018000000025,39.464604700000038
38,63,689546240.000000000000000, ,apartments,-0.345018000000025,39.464604700000038,-0.344937899999970,39.464580900000023
39,69,689546269.000000000000000, ,house,-0.345075700000003,39.464621900000040,-0.345067300000019,39.464619400000011
40,69,689546269.000000000000000, ,house,-0.345067300000019,39.464619400000011,-0.345018000000025,39.464604700000038
41,69,689546269.000000000000000, ,house,-0.345018000000025,39.464604700000038,-0.344937899999970,39.464580900000023
42,63,689546240.000000000000000, ,apartments,-0.345092000000020,39.464626799999998,-0.345075700000003,39.464621900000040
43,69,689546269.000000000000000, ,house,-0.344899800000015,39.464657699999982,-0.344937899999970,39.464580900000023
44,56,689546218.000000000000000, , ,-0.345092000000020,39.464626799999998,-0.345148199999962,39.464643499999958
45,56,689546218.000000000000000, , ,-0.345148199999962,39.464643499999958,-0.345150299999958,39.464644100000008
46,56,689546218.000000000000000, , ,-0.345150299999958,39.464644100000008,-0.345178399999974,39.464652499999993
47,56,689546218.000000000000000, , ,-0.345178399999974,39.464652499999993,-0.345198899999983,39.464658599999964
48,63,689546240.000000000000000, ,apartments,-0.345092000000020,39.464626799999998,-0.345148199999962,39.464643499999958
49,63,689546240.000000000000000, ,apartments,-0.345148199999962,39.464643499999958,-0.345150299999958,39.464644100000008
50,63,689546240.000000000000000, ,apartments,-0.345150299999958,39.464644100000008,-0.345178399999974,39.464652499999993
51,63,689546240.000000000000000, ,apartments,-0.345178399999974,39.464652499999993,-0.345198899999983,39.464658599999964
52,51,689546200.000000000000000, ,apartments,-0.345233800000028,39.464669000000029,-0.345271400000031,39.464591600000020
53,63,689546240.000000000000000, ,apartments,-0.345233800000028,39.464669000000029,-0.345271400000031,39.464591600000020
54,56,689546218.000000000000000, , ,-0.345198899999983,39.464658599999964,-0.345233800000028,39.464669000000029
55,63,689546240.000000000000000, ,apartments,-0.345198899999983,39.464658599999964,-0.345233800000028,39.464669000000029
56,51,689546200.000000000000000, ,apartments,-0.345219299999983,39.464695700000014,-0.345233800000028,39.464669000000029
57,56,689546218.000000000000000, , ,-0.345219299999983,39.464695700000014,-0.345233800000028,39.464669000000029
58,69,689546269.000000000000000, ,house,-0.345075700000003,39.464621900000040,-0.345038500000034,39.464698200000043
59,49,689546192.000000000000000, , ,-0.344899800000015,39.464657699999982,-0.344929499999986,39.464666399999992
60,49,689546192.000000000000000, , ,-0.344929499999986,39.464666399999992,-0.344970299999987,39.464678299999996
61,49,689546192.000000000000000, , ,-0.344970299999987,39.464678299999996,-0.345038500000034,39.464698200000043
62,69,689546269.000000000000000, ,house,-0.344899800000015,39.464657699999982,-0.344929499999986,39.464666399999992
63,69,689546269.000000000000000, ,house,-0.344929499999986,39.464666399999992,-0.344970299999987,39.464678299999996
64,69,689546269.000000000000000, ,house,-0.344970299999987,39.464678299999996,-0.345038500000034,39.464698200000043
65,56,689546218.000000000000000, , ,-0.345054899999970,39.464703000000000,-0.345092000000020,39.464626799999998
66,49,689546192.000000000000000, , ,-0.345038500000034,39.464698200000043,-0.345054899999970,39.464703000000000
67,51,689546200.000000000000000, ,apartments,-0.345373200000016,39.464621299999990,-0.345322399999987,39.464725399999985
68,55,689546217.000000000000000, ,apartments,-0.345373200000016,39.464621299999990,-0.345322399999987,39.464725399999985
69,51,689546200.000000000000000, ,apartments,-0.345322399999987,39.464725399999985,-0.345219299999983,39.464695700000014
70,56,689546218.000000000000000, , ,-0.345219299999983,39.464695700000014,-0.345198100000005,39.464745000000008
