FID,FID_Buildi,osm_id,name,type,startX,startY,endX,endY
0,6,297886143.000000000000000, ,school,-0.344502399999995,39.464217499999975,-0.344481400000034,39.464259699999999
1,6,297886143.000000000000000, ,school,-0.344481400000034,39.464259699999999,-0.344203999999997,39.464177899999981
2,6,297886143.000000000000000, ,school,-0.344203999999997,39.464177899999981,-0.344461399999978,39.464134799999968
3,6,297886143.000000000000000, ,school,-0.344461399999978,39.464134799999968,-0.344480799999984,39.464093400000010
4,6,297886143.000000000000000, ,school,-0.344480799999984,39.464093400000010,-0.344657799999974,39.464191999999997
5,6,297886143.000000000000000, ,school,-0.344657799999974,39.464191999999997,-0.344903100000020,39.464265500000039
6,6,297886143.000000000000000, ,school,-0.344903100000020,39.464265500000039,-0.344919200000020,39.464234000000005
7,6,297886143.000000000000000, ,school,-0.344919200000020,39.464234000000005,-0.344975499999971,39.464250500000041
8,6,297886143.000000000000000, ,school,-0.344975499999971,39.464250500000041,-0.344932899999999,39.464334100000031
9,6,297886143.000000000000000, ,school,-0.344932899999999,39.464334100000031,-0.344898000000042,39.464323100000009
10,6,297886143.000000000000000, ,school,-0.344898000000042,39.464323100000009,-0.344891899999982,39.464333900000014
11,6,297886143.000000000000000, ,school,-0.344891899999982,39.464333900000014,-0.344502399999995,39.464217499999975
12,34,447560127.000000000000000, , ,-0.345075100000041,39.464300700000017,-0.345211100000013,39.464342400000007
13,32,447560125.000000000000000, , ,-0.345211100000013,39.464342400000007,-0.345347500000019,39.464381599999960
14,37,447560130.000000000000000, , ,-0.345347500000019,39.464381599999960,-0.345449700000038,39.464172900000015
15,37,447560130.000000000000000, , ,-0.345449700000038,39.464172900000015,-0.345467299999984,39.464136799999956
16,37,447560130.000000000000000, , ,-0.345467299999984,39.464136799999956,-0.345532601271219,39.464156795847600
17,37,447560130.000000000000000, , ,-0.345532601271219,39.464156795847600,-0.345429300000037,39.464372600000019
18,37,447560130.000000000000000, , ,-0.345429300000037,39.464372600000019,-0.345479899999961,39.464387500000008
19,32,447560125.000000000000000, , ,-0.345154500000038,39.464458600000029,-0.345211100000013,39.464342400000007
20,34,447560127.000000000000000, , ,-0.345154500000038,39.464458600000029,-0.345211100000013,39.464342400000007
21,34,447560127.000000000000000, , ,-0.345154500000038,39.464458600000029,-0.345017199999957,39.464418099999961
22,34,447560127.000000000000000, , ,-0.345017199999957,39.464418099999961,-0.345075100000041,39.464300700000017
23,94,689533261.000000000000000, , ,-0.343073900000017,39.464470500000033,-0.343098199999985,39.464391399999975
24,32,447560125.000000000000000, , ,-0.345347500000019,39.464381599999960,-0.345290099999977,39.464498699999972
25,37,447560130.000000000000000, , ,-0.345347500000019,39.464381599999960,-0.345290099999977,39.464498699999972
26,32,447560125.000000000000000, , ,-0.345290099999977,39.464498699999972,-0.345154500000038,39.464458600000029
27,33,447560126.000000000000000, , ,-0.345414399999959,39.464535499999997,-0.345479899999961,39.464387500000008
28,37,447560130.000000000000000, , ,-0.345414399999959,39.464535499999997,-0.345479899999961,39.464387500000008
29,37,447560130.000000000000000, , ,-0.345414399999959,39.464535499999997,-0.345290099999977,39.464498699999972
30,94,689533261.000000000000000, , ,-0.343098199999985,39.464391399999975,-0.343101499999991,39.464378599999982
31,94,689533261.000000000000000, , ,-0.343101499999991,39.464378599999982,-0.343401400000025,39.464468200000020
32,94,689533261.000000000000000, , ,-0.343401400000025,39.464468200000020,-0.343358899999972,39.464554000000014
33,40,449459569.000000000000000, , ,-0.343073900000017,39.464470500000033,-0.343205100000037,39.464508900000013
